Municipality,Municipal type,Population,median household income,race_white,race_hispanic,race_black,race_asian
Hackensack,city,44339,70090.00,24.90,39.70,22.50,
Teaneck,township,40458,111821.00,45.60,18.10,25.20,
Fort Lee,borough,37430,83767.00,40.70,13.10,,42.40
Fair Lawn,borough,33017,123159.00,70.50,14.20,,12.00
Garfield,city,31645,62939.00,53.20,39.00,3.70,
Englewood,city,"28,353",85899,32.5,28.8,25.4,
Bergenfield,borough,"27,373","96,335",35.8,29.2,,25.3
Paramus,borough,"26,503","128,306",56.6,11.3,,28.1
Mahwah,township,"26,275","107,081",72.3,11.5,,12.2
Ridgewood,village,"25,179","184,355",72.3,7.9,,15.5
