zip_code,city_or_borough,population>10000
7601,Hackensack,43010
7666,Teaneck,39776
7024,Fort Lee,35353
7410,Fair Lawn,32457
7026,Garfield,30555
7631,Englewood,27119
7621,Bergenfield,26761
7652,Paramus,26342
7430,Mahwah,25890
7450,Ridgewood,24958
7644,Lodi,24136
7010,Cliffside Park,23594
7071,Lyndhurst,20554
7650,Palisades Park,19601
7407,Elmwood Park,19403
7070,Rutherford,18061
7628,Dumont,17433
7481,Wyckoff,16716
7646,New Milford,16341
7031,North Arlington,15392
7670,Tenafly,14573
7446,Ramsey,14484
7022,Fairview,13835
7663,Saddle Brook,13659
7436,Oakland,12754
7660,Ridgefield Park,12729
7604,Hasbrouck Heights,11842
7452,Glen Rock,11601
7020,Edgewater,11513
7458,Saddle River,11360
7661,River Edge,11340
7057,Wallington,11335
7657,Ridgefield,11032
7675,Westwood,10908
7643,Little Ferry,10626
7417,Franklin Lakes,10580
7642,Hillsdale,10207
