zip_code,city_or_borough,population>10000
07601,Hackensack,43010
07666,Teaneck,39776
07024,Fort Lee,35353
07410,Fair Lawn,32457
07026,Garfield,30555
07631,Englewood,27119
07621,Bergenfield,26761
07652,Paramus,26342
07675,Westwood,26339
07430,Mahwah,25890
07450,Ridgewood,24985
07644,Lodi,24136
07010,Cliffside Park,23594
07071,Lyndhurst,20554
07650,Palisades Park,19601
07407,Elmwood Park,19403
07070,Rutherford,18061
07628,Dumont,17433
07481,Wyckoff,16716
07646,New Milford,16341
07031,North Arlington,15392
07670,Tenafly,14573
07446,Ramsey,14484
07022,Fairview,13835
07663,Saddle Brook,13659
07436,Oakland,12754
07660,Ridgefield Park,12729
07604,Hasbrouck Heights,11842
07452,Glen Rock,11601
07020,Edgewater,11513
07458,Saddle River,11360
07661,River Edge,11340
07057,Wallington,11335
07657,Ridgefield,11032
07643,Little Ferry,10626
07417,Franklin Lakes,10580
07642,Hillsdale,10207
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
