county,county_pop,county_latitude,county_longitude
Bergen,930390,40.96121472,-74.07797592
Middlesex,825920,40.43898498,-74.4119747
Essex,795404,40.78693893,-74.24673221
Hudson,670046,40.73827694,-74.08028873
Monmouth,621659,40.26008166,-74.22190621
Ocean,596415,39.88416106,-74.28104138
Union,554033,40.66011301,-74.30799491
Camden,506738,39.80354358,-74.95965817
Passaic,503637,41.0865573,-74.30441945
Morris,493379,40.86197637,-74.54460079
Burlington,445702,39.87758638,-74.66780993
Mercer,367922,40.28345068,-74.70171707
Somerset,329838,40.5634073,-74.61639394
Gloucester,291165,39.71700097,-75.14083383
Atlantic,266105,39.47771408,-74.66042
Cumberland,151906,39.37364809,-75.110526
Sussex,141483,41.13919407,-74.69090595
Hunterdon,124823,40.56719491,-74.91227022
Warren,105862,40.89146451,-74.9877998
Cape May,93086,39.14870594,-74.80013219
Salem,62990,39.58741398,-75.34846499
